4055;2015-07-08;Á;1;2;2;4;16;13;0;500;160;85;
4054;2015-07-07;Á;2;4;8;3;0;0;30;500;160;85;
4053;2015-07-06;À;2;4;0;0;16;28;0;500;160;85;
4052;2015-07-05;À;2;8;2;6;12;0;36;500;160;85;
4051;2015-07-04;Á;1;7;3;1;14;0;76;500;160;85;
4050;2015-07-03;Á;2;9;9;8;11;13;0;500;160;85;
4049;2015-07-02;Á;1;4;3;7;7;0;25;500;160;85;
4048;2015-07-01;À;2;1;8;9;3;0;18;500;160;85;
4047;2015-06-30;À;2;6;4;5;7;0;73;500;160;85;
4046;2015-06-29;À;1;0;4;1;2;0;17;500;160;85;
4045;2015-06-28;À;2;0;9;3;1;0;32;500;160;85;
4044;2015-06-27;Á;2;6;7;9;6;0;42;500;160;85;
4043;2015-06-26;Á;2;0;8;5;4;0;45;500;160;85;
4042;2015-06-25;À;1;2;4;0;16;0;63;500;160;85;
4041;2015-06-24;Á;2;4;5;0;3;0;26;500;160;85;
4040;2015-06-23;Á;2;2;9;7;11;0;30;500;160;85;
4039;2015-06-22;À;2;2;5;5;21;31;0;500;160;85;
4038;2015-06-21;À;2;1;2;4;5;0;25;500;160;85;
4037;2015-06-20;À;2;5;3;9;8;0;72;500;160;85;
4036;2015-06-19;À;1;1;6;3;9;0;37;500;160;85;
4035;2015-06-18;Á;1;1;6;5;6;0;32;500;160;85;
4034;2015-06-17;À;1;9;1;1;13;21;0;500;160;85;
4033;2015-06-16;À;1;8;3;7;6;0;31;500;160;85;
4032;2015-06-15;Á;2;4;7;6;3;0;23;500;160;85;
4031;2015-06-14;À;1;2;1;1;9;25;0;500;160;85;
4030;2015-06-13;À;1;0;7;5;6;0;22;500;160;85;
4029;2015-06-12;Á;2;0;2;1;15;0;38;500;160;85;
4028;2015-06-11;À;1;1;0;3;50;0;50;500;160;85;
4027;2015-06-10;Á;1;6;8;3;8;0;41;500;160;85;
4026;2015-06-09;Á;2;7;6;9;5;0;35;500;160;85;
4025;2015-06-08;Á;2;8;8;8;69;0;0;500;160;85;
4024;2015-06-07;Á;1;6;4;7;10;0;34;500;160;85;
4023;2015-06-06;À;2;3;9;0;4;0;36;500;160;85;
4022;2015-06-05;À;2;9;5;2;7;0;49;500;160;85;
4021;2015-06-04;À;1;6;6;1;10;13;0;500;160;85;
4020;2015-06-03;À;1;1;0;4;9;0;15;500;160;85;
4019;2015-06-02;À;2;1;2;7;8;0;33;500;160;85;
4018;2015-06-01;Á;2;1;9;5;10;0;35;500;160;85;
4017;2015-05-31;Á;1;7;3;8;6;0;20;500;160;85;
4016;2015-05-30;Á;2;0;7;8;5;0;21;500;160;85;
